Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:282,"Dein Freund sagte, du könntest mir ein Ulu-Mulu machen!",你的朋友说，你能为我制一把乌卢刀！,,,Info_FreemineOrc_SUCHEULUMULU_15_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:285,"Du mir geholfen, also ich dir helfen!",你帮了我，所以我要帮你！,,,Info_FreemineOrc_SUCHEULUMULU_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:289,Tarrok sehr schwach. Tarrok ohne Medizin sterben.,塔罗卡快不行了。没有药，他就会死。,,,Info_FreemineOrc_SUCHEULUMULU_17_05,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:290,"Fremder bringen Medizin, dann Tarrok helfen!",陌生人拿回药来，塔罗卡就得救了！,,,Info_FreemineOrc_SUCHEULUMULU_17_06,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:303,"Hier, ich habe deine Medizin gefunden!",这里，我找到了你的药！,,,Info_FreemineOrc_GIVEPOTION.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:317,"Hier, ich habe deine Medizin gefunden!",这里，我找到了你的药！,,,Info_FreemineOrc_GIVEPOTION_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:330,Fremder nicht böse wie andere Menschen! Fremder gut!,陌生人不像其他人那么坏！你很好心！,,,Info_FreemineOrc_GIVEPOTION_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:331,Tarrok schulden Dank!,塔罗卡感激你！,,,Info_FreemineOrc_GIVEPOTION_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:332,Kannst du mir jetzt ein Ulu-Mulu geben?,现在你能给我一把乌卢刀吗？,,,Info_FreemineOrc_GIVEPOTION_15_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:333,"Fremder helfen Tarrok, also Tarrok auch helfen Fremder!",陌生人帮助塔罗卡，所以塔罗卡也要帮助陌生人！,,,Info_FreemineOrc_GIVEPOTION_17_05,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:334,"Fremder brauchen KROTAHK, KHAZ-TAK, DWACHKARR und ORTH-ANTAK.",陌生人需要找到可罗塔卡，卡兹塔卡，铎科卡和欧斯安塔卡。,,,Info_FreemineOrc_GIVEPOTION_17_06,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:335,"Fremder bringen, dann Tarrok machen Ulu-Mulu!",把它们带回来后，塔罗卡就会造出乌卢刀！,,,Info_FreemineOrc_GIVEPOTION_17_07,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:354,Was ist ein KROTAHK?,可罗塔卡是什么？,,,Info_FreemineOrc_FIREWARAN.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:367,Was ist ein KROTAHK?,可罗塔卡是什么？,,,Info_FreemineOrc_FIREWARAN_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:368,Seien Flammenzunge! Seien Zunge von Feuerechse!,火舌！火蜥蜴的火舌！,,,Info_FreemineOrc_FIREWARAN_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:380,Wo finde ich eine Feuerechse?,我在哪儿能找到火蜥蜴？,,,Info_FreemineOrc_FIREWARAN2.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:395,Wo finde ich eine Feuerechse?,我在哪儿能找到火蜥蜴？,,,Info_FreemineOrc_FIREWARAN2_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:396,Feuerechsen in Heimat leben. Heimat von Tarrok. Fremder suchen müssen!,火蜥蜴住在家里。塔罗卡的家里。陌生人必须搜寻！,,,Info_FreemineOrc_FIREWARAN2_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:397,Auch können finden Feuerechse auf Sand bei Meer.,你也可在海边的沙滩上找到火蜥蜴。,,,Info_FreemineOrc_FIREWARAN2_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:411,Was bedeutet KHAZ-TAK?,卡兹塔卡是什么？,,,Info_FreemineOrc_SHADOWBEAST.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:424,Was bedeutet KHAZ-TAK?,卡兹塔卡是什么？,,,Info_FreemineOrc_SHADOWBEAST_Info_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:425,Seien Horn von Schattenläufer. Horn spitz wie Dolch und hart wie Stein.,影兽的角。它的角尖锐得像刀子，硬得像石头。,,,Info_FreemineOrc_SHADOWBEAST_Info_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:437,Wo findet man Schattenläufer?,在哪儿能找到黑兽？,,,Info_FreemineOrc_SHADOWBEAST2.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:452,Wo findet man Schattenläufer?,在哪儿能找到黑兽？,,,Info_FreemineOrc_SHADOWBEAST2_Info_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:453,Leben in Wald oder in Höhle. Nicht mögen Licht.,在洞里或森林里。它们不喜欢亮光。,,,Info_FreemineOrc_SHADOWBEAST2_Info_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:454,Seien sehr gefährlich. Fremder aufpassen!,它们非常危险。陌生人要小心！,,,Info_FreemineOrc_SHADOWBEAST2_Info_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:468,DWACHKARR? Was ist das denn?,铎科卡？这是什么？,,,Info_FreemineOrc_SWAMPSHARK.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:481,DWACHKARR? Was ist das denn?,铎科卡？这是什么？,,,Info_FreemineOrc_SWAMPSHARK_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:482,"Seien Zähne von Sumpfhai. Wenn Zähne beißen Opfer, dann nie wieder loslassen.",沼泽巨虫的牙。如果被它咬住，受害者就光不掉了。,,,Info_FreemineOrc_SWAMPSHARK_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:494,Wo finde ich Sumpfhaie?,在哪儿能找到沼泽巨虫？,,,Info_FreemineOrc_SWAMPSHARK2.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:509,Wo finde ich Sumpfhaie?,在哪儿能找到沼泽巨虫？,,,Info_FreemineOrc_SWAMPSHARK2_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:510,Viele Sumpfhaie bei Lager von Menschen. Lager in Sumpf natürlich!,它们生活在人类的营地里。当然是沼泽地的营地！,,,Info_FreemineOrc_SWAMPSHARK2_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:524,Was ist ein ORTH-ANTAK?,欧斯安塔卡是什么？,,,Info_FreemineOrc_TROLL.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:537,Was ist ein ORTH-ANTAK?,欧斯安塔卡是什么？,,,Info_FreemineOrc_TROLL_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:538,Hauer von großes Troll! Machen großes Löcher in Beute!,大巨人的牙齿！能把人咬成大洞！,,,Info_FreemineOrc_TROLL_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:550,Wo finde ich einen Troll?,在哪儿能找到巨人？,,,Info_FreemineOrc_TROLL2.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:565,Wo finde ich einen Troll?,在哪儿能找到巨人？,,,Info_FreemineOrc_TROLL2_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:566,Troll leben in Bergen! Troll lieben viel Platz!,巨人生活在大山里！巨人喜欢宽敞的地方！,,,Info_FreemineOrc_TROLL2_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:567,Fremder gehen suchen in Nordberge! Aber passen auf auf Faust von Troll!,陌生人可以去北部的大山里寻找！但是要小心它们！,,,Info_FreemineOrc_TROLL2_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:568,"Faust treffen, dann Fremder fallen von Berg runter!",如果它向你袭击，你就有可能掉下山崖！,,,Info_FreemineOrc_TROLL2_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:583,Ich habe noch nicht alle vier Teile beisammen.,我还没有全部得到它们。,,,Info_FreemineOrc_LOOKINGULUMULU.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:603,Ich habe noch nicht alle vier Teile beisammen.,我还没有全部得到它们。,,,Info_FreemineOrc_LOOKINGULUMULU_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:604,Fremder suchen weiter. Tarrok hier warten!,陌生人去找吧。塔罗卡在这儿等着！,,,Info_FreemineOrc_LOOKINGULUMULU_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:618,Ich habe alle Teile für das Ulu-Mulu zusammen!,我已经找到了乌卢刀所需要的四样物品！,,,Info_FreemineOrc_EVERYULUMULU.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:635,Ich habe alle Teile für das Ulu-Mulu zusammen!,我已经找到了乌卢刀所需要的四样物品！,,,Info_FreemineOrc_EVERYULUMULU_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:636,Fremder seien starker Krieger! Geben Teile! Tarrok machen ULU-MULU!,陌生人是一个强壮的战士！给你！塔罗卡制造了乌卢刀！,,,Info_FreemineOrc_EVERYULUMULU_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:637,Hier! Fremder tragen ULU-MULU mit Stolz! Tarrok jetzt schlafen!,来！陌生人戴上乌卢刀多么自豪！塔罗卡要睡了！,,,Info_FreemineOrc_EVERYULUMULU_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_HighPriest1.d:22,STEEERBLICHEEERRRR!!!!,啊啊！！！,,,Info_HighPriest1_17_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_HighPriest1.d:23,"DU WAAAGST ES, MEINE RUUHHE ZU STÖÖÖREN!",你竟敢打扰我！,,,Info_HighPriest1_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_HighPriest1.d:24,BEREEEITE DIIICH AUF DAS EEEENDE VOOOR!,你完蛋了！,,,Info_HighPriest1_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_HighPriest1.d:25,"Fragt sich, nur wessen Ende, du wurmzerfressener Fleischklops!",等着瞧吧！我要杀了你！,,,Info_HighPriest1_15_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_HighPriest2.d:22,EIN UNGLÄUBIGEEEEER IM HORT DES MEEEISTERS!!!!,一个无信仰者竟然敢在主人的房子里！！！,,,Info_HighPriest2_17_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_HighPriest2.d:23,VERDAMMMMMMMNIS ÜBER DIIIICH!,你真该死！！,,,Info_HighPriest2_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_HighPriest2.d:24,"Verdammt sein wirst DU, stinkender Moderteppich!",你这个该死的东西！！！,,,Info_HighPriest2_15_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_HighPriest3.d:22,STEEEEERBLICHEEEEER!!!!!,去死吧！！！,,,Info_HighPriest3_17_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_HighPriest3.d:23,DEINEEEEEE REISEEEEE EEEENDET HIIEEER BEI MIIIIR!!,我要干掉你！！！！！！,,,Info_HighPriest3_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_HighPriest3.d:24,"Erst mal schicke ich dich auf eine neue Reise, verfaultes Madenparadies!",我会先把你派出去，你这个空想的家伙！,,,Info_HighPriest3_15_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_HighPriest4.d:22,ZUEEEENDEEEE IST DEEEIN LANGER WEEEG!!!,你这个疯子，就要完蛋了！,,,Info_HighPriest4_17_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_HighPriest4.d:23,BREEENNEEEN SOLL DEINEEEE STEEEERBLICHEEEE HÜLLEEEE!!!,你的身体将会烧成灰烬！！！,,,Info_HighPriest4_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_HighPriest4.d:24,Das wollen wir doch mal schön bleiben lassen!,现在我的确认为那是个好主意！,,,Info_HighPriest4_15_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_HighPriest5.d:24,DU HASSST EINE MÄCHTIGEEE WAFFFEE!!!,你有强大的武器！！！,,,Info_HighPriest5_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_HighPriest5.d:25,ICCH WERDDDEEEE DIIICH AUFFHALTEEEEEN!!!,我会阻止你的！！,,,Info_HighPriest5_17_05,,
Scripts/content/Story/MISSIONS/DIA_ORC_HighPriest5.d:35,UMKEEEHREN MUSST DU HIEEER!!!,你必须回来！,,,Info_HighPriest5_17_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_HighPriest5.d:36,NIEEEMAND DARF DIE RUHEEE MEINEEES MEEEISTERS STÖÖÖÖREN!!!,没有人可以打扰沈睡者！！！,,,Info_HighPriest5_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_HighPriest5.d:37,"Irrtum, dein SCHLÄFER wird schon bald hellwach sein!",错了，你的沈睡者就要醒了！,,,Info_HighPriest5_15_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_HighPriest5.d:68,Verdammt! Ich bewirke nicht den geringsten Schaden! Ich brauche eine andere ...,该死！我不会只造成最小的损害的！我需要．．．,,,Info_HighPriest5FAILED_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_HighPriest5.d:69,NUUUUN WIIIIRST DUUUU STEEEERBEEEEEN!!!!!,现在你去死吧！！！,,,Info_HighPriest5FAILED_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_HighPriest5.d:70,Nichts wie weg hier!,我最好尽快离开这儿！,,,Info_HighPriest5FAILED_15_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:53,"Dank schulden, Fremder.",那要谢谢你了！,,,Info_OrcShaman_THX_17_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:54,Böse Orks töten wollen mich.,邪恶的兽人们想杀我。,,,Info_OrcShaman_THX_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:55,Alte Brüder seien heute Feinde.,以前的弟兄成了今天的敌人。,,,Info_OrcShaman_THX_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:67,Wer bist du?,你是谁？,,,Info_OrcShaman_WHO.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:80,Wer bist du?,你是谁？,,,Info_OrcShaman_WHO_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:81,Name Ur-Shak.,乌尔夏克。,,,Info_OrcShaman_WHO_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:82,Seien Sohn von Geist. Menschen nennen Schamane.,圣灵之子。人们称为巫师。,,,Info_OrcShaman_WHO_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:94,Woher kannst du unsere Sprache?,你怎么懂我们的话？,,,Info_OrcShaman_TONGUE.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:107,Woher kannst du unsere Sprache?,你是怎样懂得我们的语言的？,,,Info_OrcShaman_TONGUE_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:108,Ur-Shak gewesen Sklave bei Menschen in Mine.,乌尔夏克是矿里人的奴隶。,,,Info_OrcShaman_TONGUE_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:109,Seien gelaufen weg. Seien viiiele Winter her.,许多年前，他逃跑了。,,,Info_OrcShaman_TONGUE_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:121,Du warst Sklave in der Mine? In welcher Mine?,你是矿坑的奴隶吗？哪一座矿坑？,,,Info_OrcShaman_MINE.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:134,Du warst Sklave in der Mine? In welcher Mine?,你是矿坑的奴隶吗？哪一座矿坑？,,,Info_OrcShaman_MINE_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:135,Mine gewesen mit Dorf in Kessel darüber.,山谷里村庄的下面。,,,Info_OrcShaman_MINE_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:147,Warum kämpfen deine Stammesbrüder gegen dich?,为什么你的弟兄们要杀你？,,,Info_OrcShaman_WHY.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:160,Warum kämpfen deine Stammesbrüder gegen dich?,为什么你的弟兄们要杀你？,,,Info_OrcShaman_WHY_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:161,Ur-Shak gefallen in Ungnade.,因为乌尔夏克受人冷待。,,,Info_OrcShaman_WHY_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:162,Haben beschmutzt Ehrfurcht vor KRUSHAK.,反对克鲁夏克。,,,Info_OrcShaman_WHY_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:163,"Glauben, KRUSHAK seien böser Dämon.",相信克鲁夏克是坏魔鬼。,,,Info_OrcShaman_WHY_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:175,Was heißt KRUSHAK?,克鲁夏克是指什么？,,,Info_OrcShaman_KRUSHAK.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:188,Was heißt KRUSHAK?,克鲁夏克是指什么？,,,Info_OrcShaman_KRUSHAK_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:189,Menschen sagen SCHLAFEN.,人们称之为沈睡者？,,,Info_OrcShaman_KRUSHAK_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:190,Du meinst 'Schläfer'?,你们是指沈睡者？,,,Info_OrcShaman_KRUSHAK_15_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:191,"Ja, Menschen sagen SCHLÄFER!",是的，人们叫他沈睡者！,,,Info_OrcShaman_KRUSHAK_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:203,Was weißt du über den Schläfer?,你怎么知道沈睡者的？,,,Info_OrcShaman_SLEEPER.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:216,Was weißt du über den Schläfer?,你怎么知道沈睡者的？,,,Info_OrcShaman_SLEEPER_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:217,Fünf Brüder seien gewesen. Seien viiiiele Winter vorher!,许多年前，有五个兄弟！,,,Info_OrcShaman_SLEEPER_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:218,Waren Söhne von Geist wie Ur-Shak!,像乌尔夏克一样，是圣灵之子！,,,Info_OrcShaman_SLEEPER_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:219,Fünf Schamanen also!,你的意思是五个巫师!,,,Info_OrcShaman_SLEEPER_15_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:220,Haben gerufen KRUSHAK!,召唤克鲁夏克！,,,Info_OrcShaman_SLEEPER_17_05,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:221,Haben besiegen wollen Klan von Feind!,想击败部落的敌人！,,,Info_OrcShaman_SLEEPER_17_06,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:222,Fünf Brüder von damals haben gebaut Tempel in Erde für KRUSHAK!,然后五个兄弟就在克鲁夏克的洞穴下建造了一座神殿！,,,Info_OrcShaman_SLEEPER_17_07,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:223,Ein unterirdischer Tempel zu Ehren des Schläfers! Das muss Xardas gemeint haben mit 'unter der Ork-Stadt'!,一个沈睡者的地下寺庙? 那很可能是萨尔达斯所说的，当他谈到在兽人城市的入口处。,,,Info_OrcShaman_SLEEPER_15_08,,
Scripts/content/Story/MISSIONS/DIA_ORC_Shaman.d:235,Was passierte dann im Tempel unter der Erde?,接下来地下神殿发生了什么事？,,,Info_OrcShaman_CURSE.description,,
